test Subject,Train Accuracy,Train Loss,Accuracy,FOG Spec,FOG Sen,FOG F1,PreFOG Spec,PreFOG Sen,PreFOG F1
S01,78.955,0.456,86.098,99.583,3.902,7.018,91.258,28.261,6.718
S02,81.247,0.437,83.174,100.0,0.0,0.0,92.808,18.75,7.004
S03,80.946,0.445,76.444,99.928,0.348,0.691,90.951,26.531,12.411
S05,80.711,0.414,73.605,100.0,0.105,0.211,98.59,4.545,6.154
S06,80.244,0.42,90.944,100.0,0.0,0.0,98.651,0.0,0.0
S07,80.546,0.453,93.072,100.0,0.0,0.0,99.149,10.417,12.5
S08,80.396,0.448,68.75,98.5,1.489,2.817,96.552,10.714,7.229
S09,79.925,0.46,79.977,100.0,0.0,0.0,95.704,9.259,4.854
