test Subject,Train Accuracy,Train Loss,Accuracy,FOG Spec,FOG Sen,FOG F1,PreFOG Spec,PreFOG Sen,PreFOG F1
S01,90.364,0.268,80.516,82.8,55.122,24.145,99.6,0.0,0.0
S02,90.812,0.262,89.077,95.377,58.127,61.337,99.784,0.0,0.0
S03,91.655,0.252,81.715,87.855,61.913,56.107,99.233,1.02,1.613
S05,92.241,0.237,71.377,94.079,6.639,10.474,99.975,0.758,1.493
S06,90.979,0.259,91.689,98.901,14.829,23.214,99.91,0.0,0.0
S07,89.5,0.272,85.927,90.016,31.098,19.615,99.842,2.083,3.704
S08,91.358,0.249,67.253,86.496,19.355,24.606,99.337,0.0,0.0
S09,91.198,0.257,83.055,99.387,4.436,8.233,99.795,0.0,0.0
